/home/gsnearing/projects/SACSMA-SNOW17
Using 40 cores of 40 total.
Initializing the  Dynamically Dimensioned Search (DDS) algorithm  with  100000  repetitions
The objective function will be minimized
Starting the DDS algotrithm with 100000 repetitions...
Finding best starting point for trial 1 using 500 random samples.
Initialize database...
['csv', 'hdf5', 'ram', 'sql', 'custom', 'noData']
2082 of 100000, maximal objective function=20.2464, time remaining: 07:27:42
2090 of 100000, maximal objective function=20.2464, time remaining: 07:27:40
2098 of 100000, maximal objective function=20.2464, time remaining: 07:27:37
2106 of 100000, maximal objective function=20.2464, time remaining: 07:27:33
2114 of 100000, maximal objective function=20.2464, time remaining: 07:27:30
2122 of 100000, maximal objective function=20.2464, time remaining: 07:27:27
2130 of 100000, maximal objective function=20.2464, time remaining: 07:27:23
2138 of 100000, maximal objective function=20.2464, time remaining: 07:27:20
2146 of 100000, maximal objective function=20.2464, time remaining: 07:27:16
2154 of 100000, maximal objective function=20.2464, time remaining: 07:27:13
2162 of 100000, maximal objective function=20.2464, time remaining: 07:27:11
2170 of 100000, maximal objective function=20.2464, time remaining: 07:27:07
2178 of 100000, maximal objective function=20.2464, time remaining: 07:27:04
2186 of 100000, maximal objective function=20.2464, time remaining: 07:27:01
2194 of 100000, maximal objective function=20.2464, time remaining: 07:26:57
2201 of 100000, maximal objective function=20.2464, time remaining: 07:27:00
2208 of 100000, maximal objective function=20.2464, time remaining: 07:27:07
2216 of 100000, maximal objective function=20.2464, time remaining: 07:27:03
2224 of 100000, maximal objective function=20.2464, time remaining: 07:27:00
2232 of 100000, maximal objective function=20.2464, time remaining: 07:26:57
2240 of 100000, maximal objective function=20.2464, time remaining: 07:26:54
2248 of 100000, maximal objective function=20.2464, time remaining: 07:26:51
2256 of 100000, maximal objective function=20.2464, time remaining: 07:26:48
2264 of 100000, maximal objective function=20.2464, time remaining: 07:26:44
2272 of 100000, maximal objective function=20.2464, time remaining: 07:26:41
2280 of 100000, maximal objective function=20.2464, time remaining: 07:26:38
2288 of 100000, maximal objective function=20.2464, time remaining: 07:26:34
2296 of 100000, maximal objective function=20.2464, time remaining: 07:26:31
2304 of 100000, maximal objective function=20.2464, time remaining: 07:26:28
2312 of 100000, maximal objective function=20.2464, time remaining: 07:26:27
2320 of 100000, maximal objective function=20.2464, time remaining: 07:26:24
2328 of 100000, maximal objective function=20.2498, time remaining: 07:26:21
2336 of 100000, maximal objective function=20.2498, time remaining: 07:26:19
2344 of 100000, maximal objective function=20.2498, time remaining: 07:26:17
2352 of 100000, maximal objective function=20.2498, time remaining: 07:26:14
2360 of 100000, maximal objective function=20.2498, time remaining: 07:26:11
2368 of 100000, maximal objective function=20.2498, time remaining: 07:26:08
2376 of 100000, maximal objective function=20.2498, time remaining: 07:26:06
2384 of 100000, maximal objective function=20.2498, time remaining: 07:26:07
2392 of 100000, maximal objective function=20.2498, time remaining: 07:26:05
2400 of 100000, maximal objective function=20.2498, time remaining: 07:26:03
2408 of 100000, maximal objective function=20.2498, time remaining: 07:26:00
2416 of 100000, maximal objective function=20.2498, time remaining: 07:25:57
2424 of 100000, maximal objective function=20.2498, time remaining: 07:25:55
2432 of 100000, maximal objective function=20.2498, time remaining: 07:25:53
2440 of 100000, maximal objective function=20.2498, time remaining: 07:25:50
2448 of 100000, maximal objective function=20.2498, time remaining: 07:25:46
2456 of 100000, maximal objective function=20.2498, time remaining: 07:25:43
2464 of 100000, maximal objective function=20.2498, time remaining: 07:25:41
2472 of 100000, maximal objective function=20.2498, time remaining: 07:25:37
2480 of 100000, maximal objective function=20.2498, time remaining: 07:25:35
2488 of 100000, maximal objective function=20.2498, time remaining: 07:25:31
2496 of 100000, maximal objective function=20.2498, time remaining: 07:25:29
2504 of 100000, maximal objective function=20.2498, time remaining: 07:25:26
2512 of 100000, maximal objective function=20.2498, time remaining: 07:25:22
2520 of 100000, maximal objective function=20.2498, time remaining: 07:25:19
2528 of 100000, maximal objective function=20.2498, time remaining: 07:25:16
2536 of 100000, maximal objective function=20.2522, time remaining: 07:25:14
2544 of 100000, maximal objective function=20.2583, time remaining: 07:25:13
2552 of 100000, maximal objective function=20.2583, time remaining: 07:25:11
